|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
| # | Nome                              | Preço         | 24h    | 7d     | 30d     | Cap. de Mercado     | Volume(24h)       | Últimos 7 dias |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Bitcoin1BTC                       | R$88.717.72   | 4.60%  | 0.80%  | 17.36%  | R$1.705.228.764.127 | R$129.511.811.432 |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Solana2SOL                        | R$70.83       | 2.26%  | 0.69%  | 59.08%  | R$25.727.159.778    | R$1.385.715.336   |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Ethereum3ETH                      | R$6.691.92    | 7.06%  | 7.73%  | 18.78%  | R$818.915.749.304   | R$42.406.184.587  |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | PancakeSwap4CAKE                  | R$20.66       | 1.89%  | 1.57%  | 17.27%  | R$3.245.153.953     | R$139.303.074     |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Terra Classic5LUNC                | R$0.0008534   | 3.61%  | 0.82%  | 33.27%  | R$5.109.773.604     | R$395.094.241     |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | FTX Token6FTT                     | R$6.93        | 3.12%  | 0.89%  | 94.92%  | R$2.280.387.902     | R$83.834.368      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Dogecoin7DOGE                     | R$0.5474      | 5.51%  | 27.62% | 17.89%  | R$72.621.240.485    | R$5.914.998.356   |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Shiba Inu8SHIB                    | R$0.00004836  | 3.14%  | 1.60%  | 26.45%  | R$26.553.945.365    | R$780.073.006     |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Polygon9MATIC                     | R$4.63        | 7.58%  | 2.26%  | 2.99%   | R$40.432.728.842    | R$1.619.947.417   |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Fantom10FTM                       | R$1.24        | 10.46% | 29.25% | 2.60%   | R$3.163.800.628     | R$1.047.559.622   |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Axie Infinity11AXS                | R$36.57       | 6.00%  | 0.65%  | 23.75%  | R$3.663.323.981     | R$243.476.985     |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Harvest Finance12FARM             | R$187.24      | 8.05%  | 16.01% | 7.99%   | R$127.539.986       | R$76.855.436      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Contentos13COS                    | R$0.02788     | 1.12%  | 15.36% | 4.05%   | R$115.793.930       | R$72.597.654      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Terra14LUNA                       | R$8.38        | 3.30%  | 1.49%  | 34.85%  | R$1.068.639.358     | R$186.928.224     |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | BitShares15BTS                    | R$0.04658     | 3.52%  | 11.10% | 14.48%  | R$139.490.971       | R$9.719.630       |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Stacks16STX                       | R$1.31        | 1.88%  | 7.60%  | 21.01%  | R$1.765.027.226     | R$41.167.164      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Theta Network17THETA              | R$4.94        | 4.17%  | 6.85%  | 19.28%  | R$4.939.594.581     | R$105.506.176     |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Gemini Dollar18GUSD               | R$5.30        | 1.77%  | 2.10%  | 0.29%   | R$3.218.197.568     | R$1.875.270       |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Kaspa19KAS                        | R$0.04666     | 1.93%  | 17.09% | 370.99% | R$689.315.312       | R$14.727.719      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Dash20DASH                        | R$224.85      | 1.11%  | 0.92%  | 2.54%   | R$2.480.047.511     | R$414.405.465     |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Synthetix21SNX                    | R$8.95        | 5.09%  | 3.36%  | 30.63%  | R$2.751.668.351     | R$102.979.900     |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | RSK Infrastructure Framework22RIF | R$0.2981      | 9.28%  | 44.72% | 4.27%   | R$276.222.607       | R$59.566.096      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Mdex23MDX                         | R$0.4814      | 0.69%  | 3.86%  | 22.20%  | R$449.894.065       | R$53.574.543      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Volt Inu V224VOLT                 | R$0.000007353 | 4.47%  | 1.13%  | 123.20% | R$402.709.249       | R$9.086.891       |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | SKALE25SKL                        | R$0.1436      | 2.89%  | 5.16%  | 27.34%  | R$576.474.155       | R$19.056.327      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | WOO Network26WOO                  | R$0.6549      | 1.79%  | 8.44%  | 30.53%  | R$782.515.767       | R$87.551.967      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Status27SNT                       | R$0.1195      | 4.04%  | 0.42%  | 20.05%  | R$414.624.076       | R$11.353.417      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | SXP28SXP                          | R$1.28        | 2.89%  | 3.28%  | 26.03%  | R$646.963.142       | R$45.544.775      |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Aptos29APT                        | R$24.68       | 1.51%  | 5.91%  | 40.10%  | R$3.208.448.707     | R$409.507.934     |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
|   | Energy Web Token30EWT             | R$20.39       | 4.82%  | 1.02%  | 2.92%   | R$612.905.271       | R$7.154.822       |                |
|---|-----------------------------------|---------------|--------|--------|---------|---------------------|-------------------|----------------|
